Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSig,CcliNumber,Year,Copyright,PageCount,SheetType,Status,DataType,Category,Path
Hallelujah For The Cross,,"Ben Glover,Chris McClarney,Jeff Pardo",D,D,75,'4/4,7107551,2018,"9t One Songs,Ariose Music,Capitol CMG Genesis,Da Bears Da Bears Da Bears Music,Jesus Culture Music,Meaux Jeaux Music",5,LeadSheet,TRUE,File,,File\Lead\Hallelujah For The Cross (D).pdf
Hallelujah For The Cross,,"Ben Glover,Chris McClarney,Jeff Pardo",D,D,75,'4/4,7107551,2018,"9t One Songs,Ariose Music,Capitol CMG Genesis,Da Bears Da Bears Da Bears Music,Jesus Culture Music,Meaux Jeaux Music",0,LeadSheet,TRUE,Html,,Html\Lead\Hallelujah For The Cross-7107551-Lead-D.html
Hallelujah For The Cross,,"Ben Glover,Chris McClarney,Jeff Pardo",C,D,75,'4/4,7107551,2018,"9t One Songs,Ariose Music,Capitol CMG Genesis,Da Bears Da Bears Da Bears Music,Jesus Culture Music,Meaux Jeaux Music",4,LeadSheet,TRUE,File,,File\Lead\Hallelujah For The Cross (C).pdf
Hallelujah For The Cross,,"Ben Glover,Chris McClarney,Jeff Pardo",C,D,75,'4/4,7107551,2018,"9t One Songs,Ariose Music,Capitol CMG Genesis,Da Bears Da Bears Da Bears Music,Jesus Culture Music,Meaux Jeaux Music",0,LeadSheet,TRUE,Html,,Html\Lead\Hallelujah For The Cross-7107551-Lead-C.html
Hallelujah For The Cross,,"Ben Glover,Chris McClarney,Jeff Pardo",,D,75,'4/4,7107551,2018,"9t One Songs,Ariose Music,Capitol CMG Genesis,Da Bears Da Bears Da Bears Music,Jesus Culture Music,Meaux Jeaux Music",0,LyricsSheet,TRUE,File,,File\Lyric\Hallelujah For The Cross.txt
Hallelujah For The Cross,,"Ben Glover,Chris McClarney,Jeff Pardo",,D,75,'4/4,7107551,2018,"9t One Songs,Ariose Music,Capitol CMG Genesis,Da Bears Da Bears Da Bears Music,Jesus Culture Music,Meaux Jeaux Music",0,LyricsSheet,TRUE,Html,,Html\Lyric\Hallelujah For The Cross-7107551-Lyric.txt
Happy Day,,"Ben Cantelon,Tim Hughes",,C,152,'4/4,4847027,2006,Thankyou Music,2,NumberChart,TRUE,File,,File\Number\happy-day-#.pdf
Happy Day,,"Ben Cantelon,Tim Hughes",,C,152,'4/4,4847027,2006,Thankyou Music,0,NumberChart,TRUE,Html,,Html\Number\Happy Day-4847027-Number.html
Happy Day,,"Ben Cantelon,Tim Hughes",C,C,152,'4/4,4847027,2006,Thankyou Music,2,ChordSheet,TRUE,File,,File\Chord\happy-day-C.pdf
Happy Day,,"Ben Cantelon,Tim Hughes",C,C,152,'4/4,4847027,2006,Thankyou Music,0,ChordSheet,TRUE,Html,,Html\Chord\Happy Day-4847027-Chord-C.html
